trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",30,0,-161.71028227999128,"{0: 14, 1: 4, 2: 10, 3: 1, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",20,0,-83.24821973823967,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",25,0,-97.1735286035323,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-35.53997327693426,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",30,0,-168.1659294887592,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",25,0,-94.95209423460018,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",30,0,-142.7781695074418,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",35,0,-120.9380319240679,"{0: 24, 1: 3, 2: 5, 3: 2, 4: 1}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",20,0,-37.06210776265524,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",30,0,-129.81541089098437,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",20,0,-116.45324455627194,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,0,-99.1185559473363,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",25,0,-164.17332965551117,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",20,0,-79.86090358114492,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",30,0,-313.2594357643364,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 5}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",25,0,-19.856938528076324,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",30,0,-117.90310126249314,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",30,0,-98.47427017232486,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,0,-130.1227956690613,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",25,6,-46.931969198476594,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 0}",1
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",30,0,-57.347720015780766,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",25,0,-82.5711183151381,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",20,0,-27.24154141331185,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",20,4,-54.9946911623994,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",25,0,-112.24659207512678,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",30,0,-115.11260164232434,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",20,0,-61.667196348388096,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",20,0,-84.38303885542776,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",20,0,-91.63435939128105,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",30,7,-110.97269317994969,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 2}",1
72,False,"{'a': 0.002, 'e': 0.867621256485914}",20,0,-124.29950589262506,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",20,0,-64.90902550741751,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,0,-131.0233025546054,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",20,0,-146.11546610913567,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
